QueryId	SubjectId	Identity(%)	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_Start	G_End	G_Strand	S_Center
Thi5	NKIB01012656_1	31.915	47	32	0	216	262	4930	5070	2.9	30.8	Asterionella_formosa_ASM225602v1	+	NKIB01012656_1:4930-5070				5000
DXS	NKIB01012851_1	87.398	492	61	1	76	567	2316	3788	0	905	Asterionella_formosa_ASM225602v1	+	NKIB01012851_1:2316-3788				3052
TH1	NKIB01013371_1	60.702	570	204	8	23	579	4732	3044	0	630	Asterionella_formosa_ASM225602v1	-	NKIB01013371_1:4732-3044				3888
THIF	NKIB01013590_1	55.066	454	185	5	11	454	41577	40243	1.69e-142	451	Asterionella_formosa_ASM225602v1	-	NKIB01013590_1:41577-40243				40910
THIS	NKIB01013960_1	56.061	66	29	0	5	70	10914	11111	2.47e-18	77.4	Asterionella_formosa_ASM225602v1	+	NKIB01013960_1:10914-11111				11012.5
THIG	NKIB01013960_1	83.209	268	45	0	1	268	35859	36662	1.47e-142	442	Asterionella_formosa_ASM225602v1	+	NKIB01013960_1:35859-36662				36260.5
THIO	NKIB01014556_1	58.627	568	199	10	13	575	35848	37458	0	629	Asterionella_formosa_ASM225602v1	+	NKIB01014556_1:35848-37458				36653
TPK1	OLMU01000581_1	54.104	268	99	7	6	249	8924	8121	2.26e-77	254	Licmophora_abbreviata_CCMP470	-	OLMU01000581_1:8924-8121				8522.5
THIF	OLMU01000795_1	54.78	387	136	2	107	454	599	1759	1.67e-128	405	Licmophora_abbreviata_CCMP470	+	OLMU01000795_1:599-1759				1179
ThiC	OLMU01001378_1	47.222	36	19	0	563	598	4691	4584	0.74	32.7	Licmophora_abbreviata_CCMP470	-	OLMU01001378_1:4691-4584				4637.5
THIO	OLMU01001464_1	69.877	488	130	8	79	554	847	2295	0	660	Licmophora_abbreviata_CCMP470	+	OLMU01001464_1:847-2295				1571
FOLR	OLMU01001717_1	40	50	27	2	134	182	2168	2311	2.1	29.6	Licmophora_abbreviata_CCMP470	+	OLMU01001717_1:2168-2311				2239.5
Thi4	OLMU01001921_1	29.474	95	67	0	66	160	1132	1416	0.002	39.7	Licmophora_abbreviata_CCMP470	+	OLMU01001921_1:1132-1416				1274
Thi5-like	OLMU01002431_1	64.286	336	107	4	135	464	1170	184	2.12e-146	427	Licmophora_abbreviata_CCMP470	-	OLMU01002431_1:1170-184				677
TH1	OLMU01002616_1	55.629	604	207	7	36	579	15308	13500	0	593	Licmophora_abbreviata_CCMP470	-	OLMU01002616_1:15308-13500				14404
TENA	OLMU01003438_1	76.316	152	36	0	1	152	25120	24665	2.46e-75	247	Licmophora_abbreviata_CCMP470	-	OLMU01003438_1:25120-24665				24892.5
DXS	OLMU01004926_1	79.932	588	79	3	16	566	12004	13761	0	946	Licmophora_abbreviata_CCMP470	+	OLMU01004926_1:12004-13761				12882.5
SSSP	OLMU01005381_1	67.85	479	149	2	87	565	5619	7040	0	623	Licmophora_abbreviata_CCMP470	+	OLMU01005381_1:5619-7040				6329.5
THIG	OLMU01005533_1	85.606	264	38	0	5	268	787	1578	2.59e-146	452	Licmophora_abbreviata_CCMP470	+	OLMU01005533_1:787-1578				1182.5
THIS	OLMU01005536_1	64.062	64	23	0	7	70	575	384	6.43e-22	86.7	Licmophora_abbreviata_CCMP470	-	OLMU01005536_1:575-384				479.5
Thi5	OLMU01005660_1	22.545	275	169	16	2	259	2706	1963	9.8e-7	50.4	Licmophora_abbreviata_CCMP470	-	OLMU01005660_1:2706-1963				2334.5
ThiM	OLMU01007385_1	34.694	49	32	0	99	147	388	534	0.63	30.8	Licmophora_abbreviata_CCMP470	+	OLMU01007385_1:388-534				461
THIO	QAXB01005118_1	77.622	143	32	0	281	423	2	430	1.25e-73	236	Halamphora_sp_MG8b	+	QAXB01005118_1:2-430				216
DXS	QAXB01007216_1	91.971	137	11	0	168	304	411	1	1.89e-83	261	Halamphora_sp_MG8b	-	QAXB01007216_1:411-1				206
ThiC	QAXB01016109_1	38.235	34	21	0	223	256	145	44	1.3	30	Halamphora_sp_MG8b	-	QAXB01016109_1:145-44				94.5
ThiM	QAXB01025935_1	40	25	15	0	222	246	495	421	8.2	28.1	Halamphora_sp_MG8b	-	QAXB01025935_1:495-421				458
TH1	QAXB01030865_1	55.455	110	47	1	377	484	46	375	5.86e-37	134	Halamphora_sp_MG8b	+	QAXB01030865_1:46-375				210.5
SSSP	QAXB01031828_1	62.963	108	40	0	150	257	5	328	8.72e-40	141	Halamphora_sp_MG8b	+	QAXB01031828_1:5-328				166.5
Thi5	QAXB01032885_1	37.255	51	32	0	5	55	1559	1711	4.35e-4	42.4	Halamphora_sp_MG8b	+	QAXB01032885_1:1559-1711				1635
TENA	QAXB01034449_1	60.396	101	17	1	105	182	803	501	1.18e-46	129	Halamphora_sp_MG8b	-	QAXB01034449_1:803-501				652
TPK1	QAXB01047145_1	50.595	168	79	3	2	166	556	56	3.06e-51	171	Halamphora_sp_MG8b	-	QAXB01047145_1:556-56				306
THIS	QAXB01047152_1	52.941	17	8	0	37	53	1612	1562	5	25.4	Halamphora_sp_MG8b	-	QAXB01047152_1:1612-1562				1587
THIF	QAXB01048911_1	60.101	396	155	2	61	454	2109	925	1.68e-146	450	Halamphora_sp_MG8b	-	QAXB01048911_1:2109-925				1517
FOLR	QAXB01050104_1	62.857	105	38	1	62	165	2	316	8.07e-40	146	Halamphora_sp_MG8b	+	QAXB01050104_1:2-316				159
Thi5-like	QAXB01050768_1	65.426	188	61	1	277	464	1103	552	1.76e-80	254	Halamphora_sp_MG8b	-	QAXB01050768_1:1103-552				827.5
Thi4	QAXB01053235_1	45.946	37	18	1	94	130	655	759	3.1	30.4	Halamphora_sp_MG8b	+	QAXB01053235_1:655-759				707
THIG	QAXB01054464_1	30.667	75	47	3	190	259	1424	1648	2.4	30.4	Halamphora_sp_MG8b	+	QAXB01054464_1:1424-1648				1536
Thi4	QAXC01000002_1	40.476	42	25	0	91	132	500074	500199	6.04e-4	41.6	Halamphora_sp_AAB	+	QAXC01000002_1:500074-500199				500136.5
THIG	QAXC01000003_1	48.235	255	124	2	8	262	1208464	1207724	1.43e-64	218	Halamphora_sp_AAB	-	QAXC01000003_1:1208464-1207724				1208094
TH1	QAXC01000003_1	35.727	557	275	14	32	575	1210894	1209434	6.45e-76	263	Halamphora_sp_AAB	-	QAXC01000003_1:1210894-1209434				1210164
ThiC	QAXC01000003_1	61.444	568	142	5	109	599	1212623	1210920	0	677	Halamphora_sp_AAB	-	QAXC01000003_1:1212623-1210920				1211771.5
THIO	QAXC01000004_1	32.271	251	149	10	232	472	215543	214824	5.27e-17	86.3	Halamphora_sp_AAB	-	QAXC01000004_1:215543-214824				215183.5
DXS	QAXC01000004_1	41.854	669	321	14	55	717	1443312	1441492	6.4e-157	504	Halamphora_sp_AAB	-	QAXC01000004_1:1443312-1441492				1442402
THIS	QAXC01001364_1	26.154	65	48	0	6	70	543	349	0.002	33.9	Halamphora_sp_AAB	-	QAXC01001364_1:543-349				446
TPK1	QAXC01001724_1	27.027	74	45	1	99	172	1854	2048	4.7	28.5	Halamphora_sp_AAB	+	QAXC01001724_1:1854-2048				1951
Thi5-like	QAXC01001892_1	26.86	242	168	5	154	393	1147	443	1.45e-15	79	Halamphora_sp_AAB	-	QAXC01001892_1:1147-443				795
Thi5	QAXC01001892_1	26.394	269	179	5	2	266	1159	398	1.72e-29	119	Halamphora_sp_AAB	-	QAXC01001892_1:1159-398				778.5
ThiM	QAXC01003315_1	38.865	229	121	3	9	237	644	15	2.07e-30	118	Halamphora_sp_AAB	-	QAXC01003315_1:644-15				329.5
SSSP	QAXC01003832_1	29.947	187	116	7	56	238	1234	1761	4.36e-6	49.7	Halamphora_sp_AAB	+	QAXC01003832_1:1234-1761				1497.5
THIF	QAXC01003902_1	38.01	392	211	9	60	446	576	1670	1.32e-62	214	Halamphora_sp_AAB	+	QAXC01003902_1:576-1670				1123
FOLR	QAXC01005178_1	20.5	200	126	9	50	238	1229	696	1.6	30	Halamphora_sp_AAB	-	QAXC01005178_1:1229-696				962.5
TENA	QAXC01006055_1	26.923	208	142	5	10	213	1619	2224	8.64e-12	63.5	Halamphora_sp_AAB	+	QAXC01006055_1:1619-2224				1921.5
SSSP	QPGO01000002_1	35.417	48	31	0	9	56	1002487	1002630	3.2	32.3	Psammoneis_japonica_ASM863298v1	+	QPGO01000002_1:1002487-1002630				1002558.5
THIS	QPGO01000022_1	44.828	29	15	1	42	70	383073	383156	1.2	27.7	Psammoneis_japonica_ASM863298v1	+	QPGO01000022_1:383073-383156				383114.5
ThiM	QPGO01000055_1	35	40	26	0	39	78	341080	340961	6.7	29.6	Psammoneis_japonica_ASM863298v1	-	QPGO01000055_1:341080-340961				341020.5
TPK1	QPGO01000057_1	52.381	252	102	6	20	253	371040	371795	8.12e-76	251	Psammoneis_japonica_ASM863298v1	+	QPGO01000057_1:371040-371795				371417.5
FOLR	QPGO01000082_1	25.676	74	32	2	90	141	215295	215513	1.1	32.3	Psammoneis_japonica_ASM863298v1	+	QPGO01000082_1:215295-215513				215404
THIF	QPGO01000094_1	53.633	289	108	3	11	275	34813	33953	1.63e-114	265	Psammoneis_japonica_ASM863298v1	-	QPGO01000094_1:34813-33953				34383
TENA	QPGO01000097_1	64.961	254	61	1	1	226	117908	117147	2.33e-110	348	Psammoneis_japonica_ASM863298v1	-	QPGO01000097_1:117908-117147				117527.5
Thi5-like	QPGO01000110_1	30.435	46	32	0	291	336	236693	236830	2.7	32	Psammoneis_japonica_ASM863298v1	+	QPGO01000110_1:236693-236830				236761.5
DXS	QPGO01000173_1	81.473	448	58	2	306	729	76113	74773	0	748	Psammoneis_japonica_ASM863298v1	-	QPGO01000173_1:76113-74773				75443
TH1	QPGO01000173_1	57.088	261	108	2	323	579	150466	151248	1.64e-91	310	Psammoneis_japonica_ASM863298v1	+	QPGO01000173_1:150466-151248				150857
ThiC	QPGO01000179_1	79.253	482	54	3	178	617	78777	77344	0	755	Psammoneis_japonica_ASM863298v1	-	QPGO01000179_1:78777-77344				78060.5
THIG	QPGO01000186_1	66.667	36	12	0	56	91	131566	131459	4.85e-4	33.5	Psammoneis_japonica_ASM863298v1	-	QPGO01000186_1:131566-131459				131512.5
Thi5	QPGO01000225_1	24.638	138	89	3	131	268	45971	45603	0.13	35.8	Psammoneis_japonica_ASM863298v1	-	QPGO01000225_1:45971-45603				45787
THIO	QPGO01000424_1	66	550	170	7	29	577	20275	21876	0	681	Psammoneis_japonica_ASM863298v1	+	QPGO01000424_1:20275-21876				21075.5
Thi4	QPGO01000424_1	40.625	32	19	0	93	124	20434	20529	3.1	31.2	Psammoneis_japonica_ASM863298v1	+	QPGO01000424_1:20434-20529				20481.5
Thi5	scaffold_10256	35.593	59	36	1	228	286	2708	2878	1.3	33.1	Cyclotella_cryptica_Cyccr1	+	scaffold_10256:2708-2878				2793
THIG	scaffold_103170	95.238	21	1	0	113	133	2	64	5.06e-7	47.4	Cyclotella_cryptica_Cyccr1	+	scaffold_103170:2-64				33
TH1	scaffold_10691	52.852	263	116	4	325	579	4412	3624	3.27e-140	266	Cyclotella_cryptica_Cyccr1	-	gene_582	3618	5530	-	4018
Thi5-like	scaffold_111697	39.535	43	23	1	11	53	9	128	0.5	31.2	Cyclotella_cryptica_Cyccr1	+	scaffold_111697:9-128				68.5
ThiC	scaffold_124	79.705	611	115	4	11	617	118075	116258	0	990	Pseudo-nitzschia_multiseries_Psemu1	-	"""estExt_Genewise1Plus.C_1240062"""	116249	118126	-	117166.5
THIS	scaffold_1322	37.931	29	18	0	18	46	31359	31445	0.88	29.3	Pseudo-nitzschia_multiseries_Psemu1	+	scaffold_1322:31359-31445				31402
TPK1	scaffold_14726	47.887	142	60	4	121	248	636	1061	1.29e-32	127	Cyclotella_cryptica_Cyccr1	+	gene_2720	1	1070	+	848.5
TPK1	scaffold_1605	44.891	274	107	6	19	251	20193	21005	1.77e-62	214	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_Genewise1Plus.C_16050006"""	20499	21014	+	20599
DXS	scaffold_163	86.29	496	67	1	71	566	127219	128703	0	905	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_Genemark1.C_1630038"""	127237	128698	+	127961
THIG	scaffold_18	37.5	56	33	1	181	234	116727	116560	0.011	39.7	Pseudo-nitzschia_multiseries_Psemu1	-	"""e_gw1.18.283.1"""	116341	117246	-	116643.5
Thi4	scaffold_203	41.86	43	23	1	90	132	45694	45816	0.12	37.4	Pseudo-nitzschia_multiseries_Psemu1	+	"""e_gw1.203.82.1"""	45661	47033	+	45755
TENA	scaffold_2416	61.345	238	76	3	1	223	7481	6771	2.84e-91	295	Pseudo-nitzschia_multiseries_Psemu1	-	"""e_gw1.2416.4.1"""	6753	7517	-	7126
ThiM	scaffold_24165	30.769	78	46	2	1	78	263	54	1.1	32.3	Cyclotella_cryptica_Cyccr1	-	gene_4441	1	296	-	158.5
THIS	scaffold_24273	28.814	59	41	1	3	60	257	433	0.86	28.9	Cyclotella_cryptica_Cyccr1	+	scaffold_24273:257-433				345
ThiM	scaffold_2562	53.125	32	15	0	109	140	10771	10866	3.9	31.6	Pseudo-nitzschia_multiseries_Psemu1	+	scaffold_2562:10771-10866				10818.5
THIO	scaffold_2973	52.795	805	297	16	37	770	5543	3165	0	742	Pseudo-nitzschia_multiseries_Psemu1	-	"""e_gw1.2973.5.1"""	3834	5426	-	4354
FOLR	scaffold_31949	27.481	131	66	5	44	160	36	383	0.015	37.7	Cyclotella_cryptica_Cyccr1	+	scaffold_31949:36-383				209.5
TENA	scaffold_3942	57.371	251	80	2	3	226	41335	40583	7.22e-93	299	Cyclotella_cryptica_Cyccr1	-	gene_7260	40565	41338	-	40959
TH1	scaffold_412	54.726	603	239	6	11	579	40496	42304	0	594	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_fgenesh1_pm.C_4120005"""	41199	42313	+	41400
Thi5	scaffold_42	30.275	109	75	1	5	113	332609	332932	5.93e-8	57	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_fgenesh1_pm.C_420005"""	332601	333529	+	332770.5
Thi5-like	scaffold_42	68.051	313	90	4	154	464	332612	333526	1.17e-137	439	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_fgenesh1_pm.C_420005"""	332601	333529	+	333069
SSSP	scaffold_4214	38.462	143	56	2	155	265	7310	7738	2.46e-75	99	Cyclotella_cryptica_Cyccr1	+	gene_8996	6535	9073	+	7524
ThiC	scaffold_4249	73.869	199	48	2	73	271	6937	7521	2.9e-92	308	Cyclotella_cryptica_Cyccr1	+	gene_9184	6474	8884	+	7229
THIO	scaffold_4408	50.892	729	305	14	91	786	13847	15973	0	605	Cyclotella_cryptica_Cyccr1	+	gene_9996	13673	16249	+	14910
THIF	scaffold_5	46.789	327	121	4	1	274	11803	10823	2.49e-112	244	Pseudo-nitzschia_multiseries_Psemu1	-	"""fgenesh1_pm.5_#_4"""	10821	11334	-	11313
DXS	scaffold_5316	82.718	515	88	1	54	568	11337	12878	0	914	Cyclotella_cryptica_Cyccr1	+	gene_13448	11178	13528	+	12107.5
THIF	scaffold_8901	54.959	242	91	2	52	275	200	925	5.55e-72	249	Cyclotella_cryptica_Cyccr1	+	gene_19958	1	1605	+	562.5
FOLR	scaffold_913	25	68	47	1	175	242	16788	16979	1.2	33.5	Pseudo-nitzschia_multiseries_Psemu1	+	scaffold_913:16788-16979				16883.5
SSSP	scaffold_99	62.937	286	104	2	3	286	284652	283795	1.05e-112	372	Pseudo-nitzschia_multiseries_Psemu1	-	"""estExt_Genewise1Plus.C_990054"""	283795	284574	-	284223.5
THIO	scaffold00005	51.72	756	265	16	90	784	785066	782916	0	703	Synedra_acus_sac1	-	15420-gene	782892	785282	-	783991
TH1	scaffold00017	54.483	580	224	9	36	579	275748	274021	0	581	Synedra_acus_sac1	-	21613-gene	274015	275784	-	274884.5
Thi5-like	scaffold00018	46.154	52	25	2	285	336	379883	379737	0.16	36.2	Synedra_acus_sac1	-	24464-gene	379227	381050	-	379810
Thi4	scaffold00028	37.255	51	28	1	84	130	176644	176492	0.19	35.4	Synedra_acus_sac1	-	24286-gene	175511	176762	-	176568
TENA	scaffold00078	73.543	223	59	0	1	223	91764	92432	9.82e-112	353	Synedra_acus_sac1	+	22646-gene	91764	92462	+	92098
TPK1	scaffold00091	51.852	216	93	6	19	223	135683	135036	1.25e-58	202	Synedra_acus_sac1	-	4907-gene	135045	135758	-	135359.5
DXS	scaffold00328	80.468	727	115	4	17	720	51327	49159	0	1181	Synedra_acus_sac1	-	23730-gene	49194	51736	-	50243
ThiC	scaffold00411	81.894	602	97	4	25	619	39485	37695	0	999	Synedra_acus_sac1	-	2740-gene	37656	39641	-	38590
THIG	scaffold00637	48.249	257	126	3	6	262	18461	19210	2.74e-68	230	Synedra_acus_sac1	+	20708-gene	17851	23331	+	18835.5
Thi5	scaffold00956	25.287	87	61	2	13	96	7946	7689	0.35	34.3	Synedra_acus_sac1	-	17161-gene	7191	8146	-	7817.5
FOLR	scaffold01249	26.984	63	45	1	144	206	7583	7768	1.9	31.6	Synedra_acus_sac1	+	24816-gene	7586	8341	+	7675.5
THIF	scaffold01719	54.267	457	196	4	11	454	1717	347	4.53e-149	468	Synedra_acus_sac1	-	26914-gene	344	2254	-	1032
THIS	scaffold03740	26.027	73	51	1	1	70	1448	1666	0.86	28.5	Synedra_acus_sac1	+	1900-gene	3	2059	-	1557
TENA	scaffold101_size565204	57.371	251	80	2	3	226	431971	432723	7.7e-93	299	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_009563_size565204-processed-gene-4.50	431439	432877	+	432347
Thi5	scaffold132_size266076	35.593	59	36	1	228	286	60163	59993	1.5	33.1	Cyclotella_cryptica_ASM1318728v1	-	scaffold132_size266076:60163-59993				60078
Thi4	scaffold133_size826974	35.185	54	32	2	146	199	97399	97247	9.9	30.8	Cyclotella_cryptica_ASM1318728v1	-	scaffold133_size826974:97399-97247				97323
Thi5-like	scaffold223_size324968	38.776	49	28	1	11	57	74607	74753	0.69	35	Cyclotella_cryptica_ASM1318728v1	+	scaffold223_size324968:74607-74753				74680
ThiC	scaffold23_size1082546	73.869	199	48	2	73	271	319701	320285	4.02e-92	308	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_003000_size1082546-augustus-gene-3.15	319042	321978	+	319993
THIS	scaffold239_size204094	28.125	64	37	2	8	68	154098	153925	1.5	28.5	Cyclotella_cryptica_ASM1318728v1	-	CCRYP_017286_size204094-augustus-gene-0.47	153799	156146	-	154011.5
FOLR	scaffold255_size154321	28.788	132	63	5	46	163	34878	34534	0.032	38.1	Cyclotella_cryptica_ASM1318728v1	-	scaffold255_size154321:34878-34534				34706
ThiM	scaffold26_size1270847	28.205	78	48	2	1	78	1101945	1102154	1.8	32.3	Cyclotella_cryptica_ASM1318728v1	+	scaffold26_size1270847:1101945-1102154				1102049.5
TH1	scaffold30_size1839819	52.852	263	116	4	325	579	265370	266158	8.22e-140	266	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_000796_size1839819-augustus-gene-2.35	263582	268112	-	265764
THIG	scaffold476_size108765	35.714	56	34	1	181	234	31659	31826	0.002	42	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_019685_size108765-snap-gene-0.14	30491	32495	+	31742.5
DXS	scaffold49_size1113722	82.718	515	88	1	54	568	374737	376278	0	914	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_002852_size1113722-snap-gene-3.3	374078	377370	+	375507.5
TPK1	scaffold53_size842038	47.887	142	60	4	121	248	99623	99198	2.66e-32	127	Cyclotella_cryptica_ASM1318728v1	-	CCRYP_005566_size842038-augustus-gene-1.3	99113	100664	-	99410.5
THIO	scaffold58_size654149	50.892	729	305	14	91	786	137284	135158	0	605	Cyclotella_cryptica_ASM1318728v1	-	CCRYP_008169_size654149-processed-gene-1.26	134882	137458	-	136221
SSSP	scaffold66_size693783	38.462	143	56	2	155	265	482257	482685	3.24e-75	99	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_007409_size693783-snap-gene-4.23	481341	484415	+	482471
THIF	scaffold81_size906611	54.959	242	91	2	52	275	32441	31716	5.75e-72	249	Cyclotella_cryptica_ASM1318728v1	-	CCRYP_004866_size906611-augustus-gene-0.14	30994	33077	-	32078.5
THIS	Sro_chlor_contig51	67.143	70	23	0	1	70	15916	16125	1.25e-24	96.3	Seminavis_robusta_version1.2	+	Sro51_chlor_g029420	15746	16128	+	16020.5
THIG	Sro_chlor_contig51	85.075	268	40	0	1	268	58208	57405	1.47e-146	455	Seminavis_robusta_version1.2	-	Sro51_chlor_g029930	57402	58208	-	57806.5
TPK1	Sro_contig103	49.419	172	75	4	90	249	47749	47234	3.54e-60	157	Seminavis_robusta_version1.2	-	Sro103_g052470	47216	48054	-	47491.5
THIF	Sro_contig1881	62.673	217	81	0	59	275	2290	1640	8.8e-80	271	Seminavis_robusta_version1.2	-	Sro1881_g303260	872	2990	-	1965
DXS	Sro_contig197	77.946	594	90	4	11	566	19442	21214	0	936	Seminavis_robusta_version1.2	+	Sro197_g083720	18486	24020	+	20328
ThiM	Sro_contig286	41.935	31	18	0	11	41	10951	11043	4	30.8	Seminavis_robusta_version1.2	+	Sro286_g108220	4857	18676	-	10997
TH1	Sro_contig3058	58.663	329	130	3	258	580	6936	5950	9.37e-166	365	Seminavis_robusta_version1.2	-	Sro3058_g342900	5947	7739	-	6443
Thi4	Sro_contig3165	29.63	81	41	3	94	170	4517	4311	0.25	35.4	Seminavis_robusta_version1.2	-	Sro3165_g344660	972	4788	-	4414
Thi5-like	Sro_contig3301	37.255	51	30	2	276	325	4853	4704	2.4	32.7	Seminavis_robusta_version1.2	-	Sro_contig3301:4853-4704				4778.5
THIO	Sro_contig399	59.322	708	245	9	84	782	53133	55154	0	822	Seminavis_robusta_version1.2	+	Sro399_g134930	53091	55801	+	54143.5
SSSP	Sro_contig435	68.498	546	159	3	1	535	32742	31111	0	703	Seminavis_robusta_version1.2	-	Sro435_g142330	30985	32742	-	31926.5
ThiC	Sro_contig446	85.754	358	47	1	262	619	43831	44892	0	619	Seminavis_robusta_version1.2	+	Sro446_g144700	42554	45358	+	44361.5
Thi5	Sro_contig721	29.825	57	32	1	176	232	44276	44130	2.3	32	Seminavis_robusta_version1.2	-	Sro721_g192790	43386	46159	-	44203
FOLR	Sro_contig793	26.027	73	46	4	196	267	34149	34346	0.064	36.6	Seminavis_robusta_version1.2	+	Sro793_g203280	32711	34628	+	34247.5
TENA	Sro_contig90	80.263	152	30	0	1	152	36852	36397	4.02e-78	256	Seminavis_robusta_version1.2	-	Sro90_g047300	35847	37052	-	36624.5
THIF	WKLE02000418_1	47.859	397	156	3	109	454	50682	49492	1.83e-110	350	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02000418_1:50682-49492				50087
TH1	WKLE02000418_1	59.966	587	219	7	4	579	54564	56309	0	657	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02000418_1:54564-56309				55436.5
TPK1	WKLE02000689_1	51.838	272	90	7	19	249	34402	35217	4.43e-77	254	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02000689_1:34402-35217				34809.5
FOLR	WKLE02000797_1	30.769	52	33	1	51	99	3421	3266	4.5	30	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02000797_1:3421-3266				3343.5
TENA	WKLE02001215_1	74.336	113	29	0	40	152	4520	4858	6.02e-87	185	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02001215_1:4520-4858				4689
ThiC	WKLE02001293_1	83.531	589	90	3	32	618	18349	20100	0	1010	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02001293_1:18349-20100				19224.5
THIO	WKLE02001329_1	59.195	696	260	10	85	772	14342	12303	0	788	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02001329_1:14342-12303				13322.5
Thi5	WKLE02001615_1	26.19	252	165	8	5	244	3635	2907	1.14e-10	63.9	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02001615_1:3635-2907				3271
Thi5-like	WKLE02001615_1	66.374	342	98	5	134	464	3710	2703	3.14e-143	453	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02001615_1:3710-2703				3206.5
Thi4	WKLE02002459_1	35.294	51	33	0	85	135	5399	5247	0.51	33.5	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02002459_1:5399-5247				5323
DXS	WKLE02003169_1	77.46	559	76	2	52	561	6921	8594	0	893	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02003169_1:6921-8594				7757.5
ThiM	WKLE02004789_1	29.231	65	40	2	16	80	19202	19026	9.1	28.9	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02004789_1:19202-19026				19114
THIG	WKLE02006732_1	85.714	266	38	0	4	269	871	1668	4.26e-147	456	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02006732_1:871-1668				1269.5
SSSP	WKLE02006786_1	68.191	481	147	3	1	475	29	1471	0	604	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02006786_1:29-1471				750
THIS	WKLE02006814_1	60.417	48	19	0	1	48	144	1	8.95e-13	61.6	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02006814_1:144-1				72.5
Thi4	WXVQ01000016_1	56	25	11	0	86	110	91557	91483	0.29	33.1	Nitzschia_sp_Nitz4	-	WXVQ01000016_1:91557-91483				91520
ThiC	WXVQ01000039_1	27.848	79	48	2	196	273	112867	113079	1.4	32	Nitzschia_sp_Nitz4	+	WXVQ01000039_1:112867-113079				112973
SSSP	WXVQ01000043_1	61.111	18	7	0	462	479	20579	20632	5.4	29.6	Nitzschia_sp_Nitz4	+	WXVQ01000043_1:20579-20632				20605.5
TH1	WXVQ01000047_1	35.616	73	38	4	372	443	90925	90731	0.99	32.3	Nitzschia_sp_Nitz4	-	WXVQ01000047_1:90925-90731				90828
THIG	WXVQ01000048_1	35.714	56	34	1	181	234	65956	66123	8.59e-4	40.4	Nitzschia_sp_Nitz4	+	WXVQ01000048_1:65956-66123				66039.5
Thi5	WXVQ01000079_1	39.286	28	17	0	313	340	34795	34878	2.6	29.6	Nitzschia_sp_Nitz4	+	WXVQ01000079_1:34795-34878				34836.5
DXS	WXVQ01000081_1	29.921	127	82	5	423	545	110818	111189	5.9e-5	46.6	Nitzschia_sp_Nitz4	+	WXVQ01000081_1:110818-111189				111003.5
THIF	WXVQ01000107_1	62.573	171	64	0	105	275	6468	5956	5.31e-112	200	Nitzschia_sp_Nitz4	-	WXVQ01000107_1:6468-5956				6212
THIO	WXVQ01000152_1	27.273	88	57	1	600	680	98165	97902	1.3	32.3	Nitzschia_sp_Nitz4	-	WXVQ01000152_1:98165-97902				98033.5
TPK1	WXVQ01000181_1	47.49	259	114	6	4	246	6384	7142	5.23e-68	227	Nitzschia_sp_Nitz4	+	WXVQ01000181_1:6384-7142				6763
ThiM	WXVQ01000184_1	35.849	53	29	2	154	203	43978	43826	3.5	28.9	Nitzschia_sp_Nitz4	-	WXVQ01000184_1:43978-43826				43902
FOLR	WXVQ01000253_1	57.854	261	105	4	12	271	6439	5669	2.18e-101	324	Nitzschia_sp_Nitz4	-	WXVQ01000253_1:6439-5669				6054
TENA	WXVQ01000292_1	26.087	46	29	1	143	183	15118	15255	4.5	28.1	Nitzschia_sp_Nitz4	+	WXVQ01000292_1:15118-15255				15186.5
THIS	WXVQ01000985_1	34.615	26	17	0	1	26	40302	40379	3.3	25	Nitzschia_sp_Nitz4	+	WXVQ01000985_1:40302-40379				40340.5
