QueryId	SubjectId	Identity...	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_Start	G_End	G_Strand	S_Center
Thi5	scaffold_42	30.275	109	75	1	5	113	332609	332932	5.93e-8	57	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_fgenesh1_pm.C_420005"""	332601	333529	+	332770.5
Thi5-like	scaffold_42	68.051	313	90	4	154	464	332612	333526	1.17e-137	439	Pseudo-nitzschia_multiseries_Psemu1	+	"""estExt_fgenesh1_pm.C_420005"""	332601	333529	+	333069
SSSP	scaffold_4214	38.462	143	56	2	155	265	7310	7738	2.46e-75	99	Cyclotella_cryptica_Cyccr1	+	gene_8996	6535	9073	+	7524
ThiC	scaffold_4249	73.869	199	48	2	73	271	6937	7521	2.9e-92	308	Cyclotella_cryptica_Cyccr1	+	gene_9184	6474	8884	+	7229
THIO	scaffold_4408	50.892	729	305	14	91	786	13847	15973	0	605	Cyclotella_cryptica_Cyccr1	+	gene_9996	13673	16249	+	14910
THIF	scaffold_5	46.789	327	121	4	1	274	11803	10823	2.49e-112	244	Pseudo-nitzschia_multiseries_Psemu1	-	"""fgenesh1_pm.5_#_4"""	10821	11334	-	11313
DXS	scaffold_5316	82.718	515	88	1	54	568	11337	12878	0	914	Cyclotella_cryptica_Cyccr1	+	gene_13448	11178	13528	+	12107.5
THIF	scaffold_8901	54.959	242	91	2	52	275	200	925	5.55e-72	249	Cyclotella_cryptica_Cyccr1	+	gene_19958	1	1605	+	562.5
SSSP	scaffold_99	62.937	286	104	2	3	286	284652	283795	1.05e-112	372	Pseudo-nitzschia_multiseries_Psemu1	-	"""estExt_Genewise1Plus.C_990054"""	283795	284574	-	284223.5
THIO	scaffold00005	51.72	756	265	16	90	784	785066	782916	0	703	Synedra_acus_sac1	-	15420-gene	782892	785282	-	783991
TH1	scaffold00017	54.483	580	224	9	36	579	275748	274021	0	581	Synedra_acus_sac1	-	21613-gene	274015	275784	-	274884.5
TENA	scaffold00078	73.543	223	59	0	1	223	91764	92432	9.82e-112	353	Synedra_acus_sac1	+	22646-gene	91764	92462	+	92098
TPK1	scaffold00091	51.852	216	93	6	19	223	135683	135036	1.25e-58	202	Synedra_acus_sac1	-	4907-gene	135045	135758	-	135359.5
DXS	scaffold00328	80.468	727	115	4	17	720	51327	49159	0	1181	Synedra_acus_sac1	-	23730-gene	49194	51736	-	50243
ThiC	scaffold00411	81.894	602	97	4	25	619	39485	37695	0	999	Synedra_acus_sac1	-	2740-gene	37656	39641	-	38590
THIG	scaffold00637	48.249	257	126	3	6	262	18461	19210	2.74e-68	230	Synedra_acus_sac1	+	20708-gene	17851	23331	+	18835.5
THIF	scaffold01719	54.267	457	196	4	11	454	1717	347	4.53e-149	468	Synedra_acus_sac1	-	26914-gene	344	2254	-	1032
TENA	scaffold101_size565204	57.371	251	80	2	3	226	431971	432723	7.7e-93	299	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_009563_size565204-processed-gene-4.50	431439	432877	+	432347
ThiC	scaffold23_size1082546	73.869	199	48	2	73	271	319701	320285	4.02e-92	308	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_003000_size1082546-augustus-gene-3.15	319042	321978	+	319993
TH1	scaffold30_size1839819	52.852	263	116	4	325	579	265370	266158	8.22e-140	266	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_000796_size1839819-augustus-gene-2.35	263582	268112	-	265764
DXS	scaffold49_size1113722	82.718	515	88	1	54	568	374737	376278	0	914	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_002852_size1113722-snap-gene-3.3	374078	377370	+	375507.5
TPK1	scaffold53_size842038	47.887	142	60	4	121	248	99623	99198	2.66e-32	127	Cyclotella_cryptica_ASM1318728v1	-	CCRYP_005566_size842038-augustus-gene-1.3	99113	100664	-	99410.5
THIO	scaffold58_size654149	50.892	729	305	14	91	786	137284	135158	0	605	Cyclotella_cryptica_ASM1318728v1	-	CCRYP_008169_size654149-processed-gene-1.26	134882	137458	-	136221
SSSP	scaffold66_size693783	38.462	143	56	2	155	265	482257	482685	3.24e-75	99	Cyclotella_cryptica_ASM1318728v1	+	CCRYP_007409_size693783-snap-gene-4.23	481341	484415	+	482471
THIF	scaffold81_size906611	54.959	242	91	2	52	275	32441	31716	5.75e-72	249	Cyclotella_cryptica_ASM1318728v1	-	CCRYP_004866_size906611-augustus-gene-0.14	30994	33077	-	32078.5
THIS	Sro_chlor_contig51	67.143	70	23	0	1	70	15916	16125	1.25e-24	96.3	Seminavis_robusta_version1.2	+	Sro51_chlor_g029420	15746	16128	+	16020.5
THIG	Sro_chlor_contig51	85.075	268	40	0	1	268	58208	57405	1.47e-146	455	Seminavis_robusta_version1.2	-	Sro51_chlor_g029930	57402	58208	-	57806.5
TPK1	Sro_contig103	49.419	172	75	4	90	249	47749	47234	3.54e-60	157	Seminavis_robusta_version1.2	-	Sro103_g052470	47216	48054	-	47491.5
THIF	Sro_contig1881	62.673	217	81	0	59	275	2290	1640	8.8e-80	271	Seminavis_robusta_version1.2	-	Sro1881_g303260	872	2990	-	1965
DXS	Sro_contig197	77.946	594	90	4	11	566	19442	21214	0	936	Seminavis_robusta_version1.2	+	Sro197_g083720	18486	24020	+	20328
TH1	Sro_contig3058	58.663	329	130	3	258	580	6936	5950	9.37e-166	365	Seminavis_robusta_version1.2	-	Sro3058_g342900	5947	7739	-	6443
THIO	Sro_contig399	59.322	708	245	9	84	782	53133	55154	0	822	Seminavis_robusta_version1.2	+	Sro399_g134930	53091	55801	+	54143.5
SSSP	Sro_contig435	68.498	546	159	3	1	535	32742	31111	0	703	Seminavis_robusta_version1.2	-	Sro435_g142330	30985	32742	-	31926.5
ThiC	Sro_contig446	85.754	358	47	1	262	619	43831	44892	0	619	Seminavis_robusta_version1.2	+	Sro446_g144700	42554	45358	+	44361.5
TENA	Sro_contig90	80.263	152	30	0	1	152	36852	36397	4.02e-78	256	Seminavis_robusta_version1.2	-	Sro90_g047300	35847	37052	-	36624.5
THIF	WKLE02000418_1	47.859	397	156	3	109	454	50682	49492	1.83e-110	350	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02000418_1:50682-49492				50087
TH1	WKLE02000418_1	59.966	587	219	7	4	579	54564	56309	0	657	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02000418_1:54564-56309				55436.5
TPK1	WKLE02000689_1	51.838	272	90	7	19	249	34402	35217	4.43e-77	254	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02000689_1:34402-35217				34809.5
TENA	WKLE02001215_1	74.336	113	29	0	40	152	4520	4858	6.02e-87	185	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02001215_1:4520-4858				4689
ThiC	WKLE02001293_1	83.531	589	90	3	32	618	18349	20100	0	1010	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02001293_1:18349-20100				19224.5
THIO	WKLE02001329_1	59.195	696	260	10	85	772	14342	12303	0	788	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02001329_1:14342-12303				13322.5
Thi5	WKLE02001615_1	26.19	252	165	8	5	244	3635	2907	1.14e-10	63.9	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02001615_1:3635-2907				3271
Thi5-like	WKLE02001615_1	66.374	342	98	5	134	464	3710	2703	3.14e-143	453	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02001615_1:3710-2703				3206.5
DXS	WKLE02003169_1	77.46	559	76	2	52	561	6921	8594	0	893	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02003169_1:6921-8594				7757.5
THIG	WKLE02006732_1	85.714	266	38	0	4	269	871	1668	4.26e-147	456	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02006732_1:871-1668				1269.5
SSSP	WKLE02006786_1	68.191	481	147	3	1	475	29	1471	0	604	Asterionellopsis_glacialis_ASM1488511v2	+	WKLE02006786_1:29-1471				750
THIS	WKLE02006814_1	60.417	48	19	0	1	48	144	1	8.95e-13	61.6	Asterionellopsis_glacialis_ASM1488511v2	-	WKLE02006814_1:144-1				72.5
THIG	WXVQ01000048_1	35.714	56	34	1	181	234	65956	66123	8.59e-4	40.4	Nitzschia_sp_Nitz4	+	WXVQ01000048_1:65956-66123				66039.5
DXS	WXVQ01000081_1	29.921	127	82	5	423	545	110818	111189	5.9e-5	46.6	Nitzschia_sp_Nitz4	+	WXVQ01000081_1:110818-111189				111003.5
THIF	WXVQ01000107_1	62.573	171	64	0	105	275	6468	5956	5.31e-112	200	Nitzschia_sp_Nitz4	-	WXVQ01000107_1:6468-5956				6212
TPK1	WXVQ01000181_1	47.49	259	114	6	4	246	6384	7142	5.23e-68	227	Nitzschia_sp_Nitz4	+	WXVQ01000181_1:6384-7142				6763
FOLR	WXVQ01000253_1	57.854	261	105	4	12	271	6439	5669	2.18e-101	324	Nitzschia_sp_Nitz4	-	WXVQ01000253_1:6439-5669				6054
